batch_no,yield_3_percent
1,3.919725
2,5.91815
3,4.4115
4,6.4962
5,16.9984
6,18.441125
7,12.14535
8,16.216175
9,24.57345
10,21.246625
11,16.777925
12,17.418125
13,7.67735
14,25.7823
15,20.2451
16,28.556
17,17.952625
18,16.805325
19,8.035075
20,19.20015
21,17.0583
22,10.57096667
23,20.854175
24,26.70423333
25,22.178675
26,28.676025
27,
28,35.92796667
29,9.49025
30,14.77573333
31,26.5659
32,7.3054
33,10.67113333
34,15.529425
35,17.8672
36,17.4426
37,22.2855
38,21.36555
39,18.15833333
40,12.876175
41,8.840975
42,11.55895
43,15.5272
44,20.24803333
45,6.963575
46,4.140733333
47,18.3731
48,9.867525
